The time it took to compute 5 random numbers of varying power 
It doesn't really grind to a halt until numbers surpass 10^11


10^x|  Time (in seconds)
    |	1			2			3			4			5
----+------------------------------------------------------------------------------------------------------------------------
1   |  	9.386658656717947e-06 	5.546661933515151e-06 	4.6933293283589735e-06 	4.266663025780884e-06	4.693329328358977e-06 
2   |  	4.9919957401636344e-05 	5.546661933515152e-06 	5.973328236093245e-06 	8.95999235413984e-06 	1.1946656472186436e-05 
3   |  	0.00011135990497288114 	4.266663025780885e-05 	5.119995630937114e-06 	4.6933293283589125e-06 	3.882663353460601e-05 
4   |  	0.00022783980557669918 	8.661325942335187e-05 	6.613327689960384e-05 	0.00026325310869068056 	8.234659639757094e-05 
5   |  	0.001533012025163072 	0.00034218637466762675 	0.0003345063812212213 	0.00038655967013574797 	0.007432953657212879
6   |  	0.0003528530322320783 	0.0012727455805904373 	0.0012040523058753656 	0.0007069860633718925 	0.001021012462069367
7   |  	0.010337271178861927 	0.0038173834091661564 	0.0009143458864248437 	0.0067630875621652806 	0.003750823465963976
8   |  	0.002532264505800956 	0.013533001785171805 	0.6485434465762588 	0.07697913431113867 	0.2146660568182982 
9   |  	0.04746918615962781 	0.19546564653598164 	1.1897909847116928 	0.03876903358375783 	0.03600978260498566
10  |  	1.1072144151770322 	0.13063967518747743 	1.0393919663855216 	1.2313542559110342 	0.5329232785721354
11  |  	0.9100224767808198 	0.7010895350702633 	0.43079259239032197 	0.37686666507377886 	0.32973539862579315
12  |  	16.767608091641094 	4.491964166857244 	8.755557328591081 	5.415851165140339 	13.086977205779448
13  |  	10.62516895985582 	75.35379084476514 	23.166273564779885 	9.255494181978293 	184.91294386095458 
14  |  	30.718803866620704 	136.8561055094566 	15.830594277892942 	2.666303004754809 	51.15856967802051
